,user_id,book_id,rating
634808,1265,1200,5
634809,1265,1206,5
634810,1265,14868,5
634811,1265,14863,5
634812,1265,25698,5
634818,1265,14866,5
634830,1265,1000,3
634832,1265,999,3
634835,1265,700,5
634840,1265,18950,5
634843,1265,7959,5
634844,1265,7225,5
634846,1265,8451,5
634876,1265,9326,0
1420349,2800,16997,5
1420384,2800,3777,5
1420393,2800,52577,0
1420411,2800,17631,4
1420420,2800,1606,0
1420421,2800,858,0
1420438,2800,1405,0
1420439,2800,17587,0
1420440,2800,906,0
1420442,2800,7325,0
1420447,2800,1167,0
4863562,9684,739,5
4863563,9684,586,4
4863589,9684,1203,5
4863591,9684,15474,4
4863592,9684,810,5
4863594,9684,13414,5
4863596,9684,441,5
4863597,9684,21158,5
4863598,9684,21157,5
4863600,9684,29278,5
4863605,9684,67893,5
5662622,11179,997,4
5662624,11179,7238,4
5662629,11179,6810,3
5662655,11179,786,5
5662671,11179,1456,4
5662673,11179,7972,3
5662829,11179,996,4
5663023,11179,427,5
5663024,11179,430,5
5663025,11179,6361,5
5663026,11179,6360,5
6409216,12757,6452,4
6409236,12757,14849,5
6409244,12757,16136,4
6409248,12757,1473,5
6409249,12757,6410,5
6409291,12757,18696,4
6409298,12757,5437,5
6409311,12757,11181,0
6409324,12757,3974,4
6409325,12757,1283,0
6489196,12933,1526,5
6489197,12933,1525,4
6489198,12933,1524,4
6489199,12933,6414,5
6489200,12933,6415,4
6489242,12933,128,5
6489254,12933,7432,5
6489263,12933,786,4
6489290,12933,438,0
6489291,12933,833,5
6489314,12933,13372,3
8893605,17513,943,5
8893607,17513,996,5
8893613,17513,12971,5
8893614,17513,938,5
8893615,17513,941,5
8893616,17513,613,5
8893617,17513,944,5
8893618,17513,939,5
8893619,17513,968,5
8893691,17513,536,4
8893692,17513,1387,4
8893693,17513,1386,0
8893701,17513,862,5
9164012,18040,23153,5
9164039,18040,23921,5
9164065,18040,23176,3
9164066,18040,23360,2
9164074,18040,23315,0
9164075,18040,23934,5
9164086,18040,144355,5
9164088,18040,23175,0
9164089,18040,144336,5
9164092,18040,23950,5
9164093,18040,23164,4
9467598,18626,996,5
9467705,18626,739,5
9467711,18626,1050,5
9467712,18626,1186,5
9467716,18626,8451,5
9467732,18626,786,4
9467734,18626,1003,5
9467735,18626,1012,5
9467738,18626,1368,0
9467739,18626,1408,5
10182712,19895,21377,5
10182814,19895,7333,4
10182819,19895,677,5
10182823,19895,20612,4
10182828,19895,3640,4
10182829,19895,7390,5
10182832,19895,13508,4
10182833,19895,41380,5
10182834,19895,1080,3
10182849,19895,7432,5
12330525,24106,28758,5
12330533,24106,28928,4
12330606,24106,586,4
12330620,24106,14239,5
12330622,24106,14237,5
12330623,24106,14236,4
12330624,24106,13697,5
12330625,24106,13696,4
12330626,24106,13695,5
12330628,24106,13694,5
12330629,24106,13692,5
12943151,25324,38819,5
12943152,25324,23355,5
12943154,25324,21022,0
12943161,25324,28558,4
12943165,25324,1559,5
12943166,25324,1611,4
12943181,25324,7050,4
12943182,25324,1572,5
12943184,25324,1218,5
12943185,25324,1197,5
12943407,25324,25097,0
13723402,26827,16962,0
13723406,26827,786,4
13723407,26827,7391,3
13723409,26827,759,3
13723438,26827,290,5
13723439,26827,586,4
13723451,26827,12976,3
13723454,26827,7388,3
13723482,26827,7301,3
13723485,26827,792,0
13723486,26827,1233,4
13723493,26827,810,0
14534253,28469,7432,2
14534254,28469,19072,3
14534255,28469,1000,3
14534259,28469,8434,3
14534264,28469,4477,3
14534276,28469,21918,3
14534278,28469,6965,3
14534279,28469,943,3
14534280,28469,997,3
14534282,28469,417,3
14534300,28469,16285,3
14534342,28469,19294,5
14748676,28915,677,5
14748701,28915,786,4
14748702,28915,858,3
14748704,28915,17543,4
14748705,28915,741,3
14748751,28915,882,4
14748753,28915,7319,3
14748754,28915,1233,4
14748757,28915,1456,2
14748806,28915,8462,4
14748807,28915,8600,3
15289769,29951,123,0
15289770,29951,417,4
15289771,29951,14611,4
15289772,29951,317,0
15289825,29951,14591,4
15289830,29951,176,0
15289899,29951,1521,0
15289901,29951,1339,5
15289903,29951,14582,0
15289904,29951,19692,0
15375165,30143,670,4
15375167,30143,821,5
15375187,30143,12982,5
15375205,30143,999,5
15375223,30143,1606,5
15375231,30143,7431,4
15375244,30143,7332,5
15375253,30143,1226,3
15375264,30143,8433,4
15375266,30143,7457,3
15375279,30143,684,3
15375280,30143,12971,4
16634737,32648,1526,3
16634738,32648,1525,4
16634803,32648,4477,0
16634805,32648,12710,5
16634810,32648,1386,4
16634825,32648,6410,4
16634845,32648,8001,4
16634847,32648,586,5
16634849,32648,772,3
16634852,32648,759,3
17873724,34930,4477,5
17873725,34930,6970,5
17873728,34930,536,5
17873882,34930,15333,0
17873888,34930,6206,0
17873938,34930,7212,0
17873995,34930,4990,0
17874092,34930,12973,0
17874437,34930,17113,0
17874438,34930,1635,0
18202262,35638,42115,0
18202270,35638,7170,0
18202271,35638,234113,0
18202273,35638,156902,3
18202274,35638,18744,3
18202295,35638,1067,0
18202311,35638,52036,0
18202317,35638,16825,0
18202361,35638,7135,4
18202413,35638,14054,0
18458618,36208,8001,5
18458619,36208,1283,5
18458621,36208,21252,5
18458623,36208,786,5
18458624,36208,858,5
18458625,36208,862,5
18458633,36208,772,5
18458635,36208,968,5
18458636,36208,938,5
18458638,36208,1003,5
18458639,36208,150,5
18458655,36208,7339,0
18458718,36209,22577,0
18458743,36209,8043,4
18458750,36209,25438,5
18458752,36209,23904,5
18458807,36209,14061,5
18458808,36209,909,4
18458809,36209,86027,3
18458813,36209,1526,5
18458814,36209,1524,5
18458815,36209,1525,5
18458817,36209,207280,5
18458825,36209,792,0
19186718,37618,27722,3
19186721,37618,19074,0
19186729,37618,821,4
19186735,37618,116615,2
19186736,37618,214565,2
19186738,37618,23680,0
19186744,37618,23360,2
19186745,37618,23164,2
19186775,37618,23361,3
19186789,37618,23904,5
19186801,37618,461,5
19186810,37618,23175,0
19878012,38937,1203,5
19878014,38937,739,5
19878017,38937,1218,5
19878018,38937,8015,0
19878019,38937,20615,0
19878050,38937,63,4
19878059,38937,707,0
19878061,38937,8460,0
19878110,38937,14804,4
19878128,38937,325,4
19878129,38937,1473,5
19878130,38937,27906,0
19878131,38937,39471,4
19878132,38937,7998,0
20336030,39854,1594,4
20336043,39854,6809,4
20336053,39854,7492,4
20336059,39854,536,4
20336067,39854,6466,2
20336068,39854,1536,4
20336070,39854,12948,4
20336072,39854,1611,4
20336076,39854,1605,4
20336111,39854,7057,5
20626341,40422,943,4
20626342,40422,772,5
20626343,40422,17415,5
20626344,40422,670,5
20626346,40422,997,5
20626347,40422,858,5
20626348,40422,461,5
20626349,40422,786,5
20626357,40422,14318,5
20626358,40422,14081,3
20626391,40422,1555,0
20806893,40804,8042,4
20806908,40804,1473,5
20806911,40804,412,0
20806914,40804,7978,4
20806926,40804,1611,3
20806929,40804,19692,0
20806935,40804,14059,5
20806936,40804,792,0
20806937,40804,443,5
20806938,40804,232,4
20806976,40804,1400,5
21488330,42237,1009,0
21488331,42237,524,0
21488333,42237,613,0
21488334,42237,1408,0
21488340,42237,20631,0
21488341,42237,1000,0
21488342,42237,1116,0
21488343,42237,66,0
21488351,42237,1088,0
21488370,42237,999,0
22302752,43760,18291,3
22302753,43760,1070,5
22302760,43760,232,3
22302766,43760,858,5
22302767,43760,943,5
22302784,43760,1376,5
22302825,43760,25274,0
22302840,43760,14599,5
22302842,43760,1079,5
22302909,43760,13270,0
22615647,44439,13519,5
22615659,44439,968,5
22615660,44439,944,5
22615661,44439,939,5
22615662,44439,943,5
22615663,44439,938,5
22615664,44439,941,5
22615665,44439,613,5
22615666,44439,739,5
22615667,44439,1203,5
22615679,44439,1088,5
22615685,44439,325,5
22615686,44439,18291,5
23806522,46890,7517,5
23806523,46890,536,5
23806525,46890,7237,5
23806529,46890,759,5
23806545,46890,16140,0
23806558,46890,5413,5
23806568,46890,20631,5
