,book_id,title,format,authors,size,publicationYear,genres
979,17781.0,Shoe Dog: A Memoir by the Creator of NIKE,Hardcover,3319233,386,2016,"history,historical fiction,biography,non-fiction,comics,graphic"
3861,31948.0,The Spy,Hardcover,"566,7014936",208,2016,"fiction,history,historical fiction,biography,non-fiction,comics,graphic,mystery,thriller,crime"
4961,14574.0,The Big Short: Inside the Doomsday Machine,Paperback,776,320,2015,"non-fiction,history,historical fiction,biography,fiction,mystery,thriller,crime"
5131,14502.0,Born a Crime: Stories From a South African Childhood,Kindle Edition,15149526,304,2016,"non-fiction,history,historical fiction,biography,comics,graphic"
6661,126.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",Hardcover,108424,662,2007,"fantasy,paranormal,fiction,young-adult,romance"
8625,1339.0,We Should All Be Feminists,Kindle Edition,11291,52,2014,non-fiction
11275,7379.0,Batman: Year One,Paperback,"15085,28995,821898,28710",144,2005,"comics,graphic,fiction,mystery,thriller,crime,fantasy,paranormal,young-adult"
11565,14589.0,Hunger Makes Me a Modern Girl,Hardcover,1026791,244,2015,"non-fiction,history,historical fiction,biography,comics,graphic"
12457,1465.0,The Paris Wife,Hardcover,290189,314,2011,"fiction,history,historical fiction,biography,romance,non-fiction"
14375,7205.0,The Couple Next Door,Hardcover,1278320,308,2016,"mystery,thriller,crime,fiction"
16222,6959.0,Under the Dome,Hardcover,3389,1074,2009,"fiction,mystery,thriller,crime,fantasy,paranormal"
17470,21019.0,Autobiography of a Yogi,Paperback,14650,520,1994,"non-fiction,history,historical fiction,biography,comics,graphic"
17561,13152.0,Lullaby,Paperback,2546,260,2003,"fiction,fantasy,paranormal,mystery,thriller,crime,romance"
18746,7499.0,"Shiver (The Wolves of Mercy Falls, #1)",Hardcover,1330292,390,2009,"romance,fiction,fantasy,paranormal,young-adult"
20019,14057.0,The Art of War,Paperback,"1771,155021",273,2005,"non-fiction,history,historical fiction,biography,fiction"
22682,21041.0,The Origin of Species,Hardcover,12793,703,2004,"non-fiction,history,historical fiction,biography,fiction"
23132,20586.0,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Hardcover,1439,305,2013,"non-fiction,history,historical fiction,biography,fiction"
24282,207280.0,انستا_حياة#,Paperback,2994581,318,2015,"romance,fiction"
24887,410.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Hardcover,30913,473,2010,"non-fiction,history,historical fiction,biography,fiction,comics,graphic"
29438,13316.0,"From Dead to Worse (Sookie Stackhouse, #8)",Hardcover,17061,359,2008,"fantasy,paranormal,fiction,romance,mystery,thriller,crime,young-adult"
29500,791.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Mass Market Paperback,"1654,1221698",412,2006,"fantasy,paranormal,fiction,young-adult"
29868,8042.0,The Five People You Meet in Heaven,Paperback,2331,196,2003,"fiction,non-fiction,young-adult,romance"
30080,13337.0,All the Missing Girls,Kindle Edition,4417749,384,2016,"mystery,thriller,crime,fiction"
30114,39001.0,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",Hardcover,4493,128,2001,non-fiction
31221,42670.0,"Fifty Shades Trilogy (Fifty Shades, #1-3)",ebook,4725841,1859,2012,"romance,fiction,young-adult"
31608,6410.0,"Slammed (Slammed, #1)",ebook,5430144,317,2012,"romance,fiction,young-adult,poetry"
32203,57830.0,"Bared to You (Crossfire, #1)",Paperback,19823,334,2014,"romance,fiction"
33653,1628.0,"The Girl Who Played with Fire (Millennium, #2)",Hardcover,"706255,2565625",503,2009,"fiction,mystery,thriller,crime"
38026,7088.0,Just Kids,Hardcover,196092,304,2010,"non-fiction,history,historical fiction,biography,poetry,fiction,comics,graphic"
39966,20887.0,The Opposite of Loneliness: Essays and Stories,Hardcover,6153502,208,2014,"non-fiction,fiction,history,historical fiction,biography,young-adult"
41620,9326.0,The Girl on the Train,Kindle Edition,1063732,326,2015,"mystery,thriller,crime,fiction"
43201,317.0,"Lean In: Women, Work, and the Will to Lead",Hardcover,"5333595,3963951",217,2013,"non-fiction,history,historical fiction,biography"
43587,15268.0,Shutter Island,Mass Market Paperback,10289,369,2004,"mystery,thriller,crime,fiction,history,historical fiction,biography"
44313,52839.0,زغازيغ,Paperback,1479015,182,2009,"non-fiction,fiction,comics,graphic"
