,author_id,name
1,626222,Anita Diamant
3,9212,Jennifer Weiner
13,27397,Benjamin Hoff
24,3389,Stephen King
27,50873,L.J. Smith
46,1265,Jane Austen
51,16667,Isaac Asimov
53,1455,Ernest Hemingway
98,123715,Agatha Christie
103,1938,Friedrich Nietzsche
155,4018722,Beth Revis
162,843200,Oliver Sacks
201,6466154,Kahlil Gibran
206,370361,Patrick Ness
227,8164,Lewis Carroll
258,3137322,Fyodor Dostoyevsky
259,69892,Constance Garnett
271,854076,Robert Louis Stevenson
277,3354,Haruki Murakami
309,12504,Karin Slaughter
322,669810,Jeaniene Frost
420,2905297,Lauren Kate
454,21911,Melissa de la Cruz
470,7581,Kelley Armstrong
477,281810,Jojo Moyes
503,2383,Gillian Flynn
512,1026791,Carrie Brownstein
583,6474348,Pierce Brown
611,5158478,Anonymous
677,17015,P.C. Cast
678,17010,Kristin Cast
690,7340907,Sui Ishida
698,570218,Dalai Lama XIV
701,569269,Jay Asher
719,3706,George Orwell
720,1194,Richard Dawkins
774,38550,Brandon Sanderson
825,1020792,Antoine de Saint-Exupery
846,4562483,Sylvain Reynard
893,1244,Mark Twain
917,1461,Gustave Flaubert
959,5194,Michael Crichton
965,4191,Emily Bronte
967,865,Robert Greene
968,12331,Joost Elffers
979,1654,Terry Pratchett
993,346732,George R.R. Martin
1004,2448,Arthur Conan Doyle
1016,7128,Jodi Picoult
1017,880695,H.G. Wells
1022,656983,J.R.R. Tolkien
1037,1330292,Maggie Stiefvater
1102,6252,Robert Jordan
1123,24758,Margaret Jull Costa
1140,9226,William Gibson
1187,589,Orson Scott Card
1192,142270,Lev Grossman
1213,6765,Virginia Woolf
1221,4476934,Jennifer L. Armentrout
1227,133538,Christopher McDougall
1261,3780,James Patterson
1302,3319233,Phil Knight
1305,2728589,Chris Kyle
1306,4998149,Scott McEwen
1307,2988,Jim DeFelice
1325,7799,Nathaniel Hawthorne
1369,585,John Steinbeck
1393,8347,Garth Nix
1394,4039811,Veronica Roth
1395,7770873,Sabaa Tahir
1397,4600197,Renee Ahdieh
1409,169377,Seth Grahame-Smith
1465,6989,Rudyard Kipling
1532,23613,Emma Donoghue
1549,1476,Doris Kearns Goodwin
1550,315737,Suzanne Toren
1555,4379,Sylvia Plath
1571,6492,Francine Rivers
1582,106,Madeleine L'Engle
1585,1462,Julian Barnes
1628,221559,Jeff Kinney
1638,3064305,Hugh Howey
1639,2345,Nicholas Sparks
1678,20248,J.R. Ward
1686,1588088,Maria Semple
1786,5031312,Dante Alighieri
1795,2849,David Sedaris
1833,205,Robert A. Heinlein
1834,2987125,Kiera Cass
1860,1401,Stephen Hawking
1887,86404,E.M. Forster
1916,18015,Joss Whedon
1942,6331,Anne Perry
2082,4,Douglas Adams
2090,6542440,Elif Shafak
2091,3402862,mHmd drwysh
2092,6517464,lyf shfq
2118,239579,Charles Dickens
2151,1630,Ray Bradbury
2155,4725841,E.L. James
2166,7579036,Becky Albertalli
2170,58851,Hilary Mantel
2209,4167378,Samantha Young
2268,696805,Jules Verne
2273,6876,Kim Edwards
2321,5548,Simone de Beauvoir
2335,569,Khaled Hosseini
2349,2987,Sarah Dessen
2356,276660,Joe Abercrombie
2387,3362,Eric Carle
2401,15905,Thomas Hardy
2445,324620,Laini Taylor
2496,1214964,Ta-Nehisi Coates
2520,1221698,Neil Gaiman
2552,3565,Oscar Wilde
2599,7116,Cecelia Ahern
2632,15873,Cornelia Funke
2636,1025097,Patricia Cornwell
2645,947,William Shakespeare
2674,4464118,Jamie McGuire
2696,18,Gary Paulsen
2881,22018,Mervyn Peake
2890,17061,Charlaine Harris
2939,1036615,Charlotte Bronte
2981,1977,Tite Kubo
3061,24678,Robin S. Sharma
3082,9013543,Ruth Ware
3090,3128534,Hablot Knight Browne
3110,36746,Lemony Snicket
3294,4637539,Tahereh Mafi
3316,3472,Margaret Atwood
3347,18479,Margaret Wise Brown
3432,57085,Ernest H. Shepard
3475,1315,Louisa May Alcott
3517,11503,Patrick Lencioni
3564,15481463,William Paul Young
3589,5132,Kate Chopin
3595,15151,Zora Neale Hurston
3598,5223,Franz Kafka
3602,13450,Gabriel Garcia Marquez
3612,4624490,Edgar Allan Poe
3617,128382,Leo Tolstoy
3619,7380,Alice Walker
3621,15435,William Carlos Williams
3630,153394,Suzanne Collins
3692,811,Yann Martel
3704,7779,Arthur C. Clarke
3723,45922,Lionel Shriver
3808,11654,Meg Cabot
3818,1377,Raymond Chandler
3827,3534,Toni Morrison
3861,988142,E.B. White
3883,5869,Erik Larson
3979,3351454,Morgan Matson
4011,7306,Jay Rubin
4012,403782,Philip Gabriel
4063,706255,Stieg Larsson
4072,1424397,Radwa Ashour
4073,1446194,rDw~ `shwr
4074,6485178,Fredrik Backman
4075,3363844,Henning Koch
4126,4698899,Hiromu Arakawa
4135,1063732,Paula Hawkins
4162,879,Plato
4250,4037220,Miguel de Cervantes Saavedra
4302,18149,Tess Gerritsen
4331,1077326,J.K. Rowling
4442,3371,Dave Eggers
4476,1367127,Carlos Fuentes
4536,25052,Brandon Mull
4582,108424,Patrick Rothfuss
4694,5300,Laura Ingalls Wilder
4745,3956,Christopher Hitchens
4765,28710,Dennis O'Neil
4847,4826,Frances Mayes
4859,3487324,Fiona Stafford
4930,26372,Kathy Reichs
4951,16024,Greg Bear
4967,3927354,Anna Todd
5073,28186,Anthony Doerr
5100,2778055,Kurt Vonnegut Jr.
5150,5754446,Voltaire
5161,3190,F. Scott Fitzgerald
5193,721,John Grisham
5194,566,Paulo Coelho
5195,7014936,Zoe Perry
5240,5293,Robert Ludlum
5367,15085,Frank Miller
5396,3953,William Makepeace Thackeray
5496,10003,Laurie Halse Anderson
5522,6988,Bram Stoker
5543,40593,Gabrielle Zevin
5545,13957,Scott Westerfeld
5636,12696,Jerry Spinelli
5698,5152,Vladimir Nabokov
5725,12898,Stephen Chbosky
5728,15872,Rick Riordan
5811,3095893,Stephanie Perkins
5887,1973,Tracy Chevalier
5942,6160,Sophie Kinsella
5948,13661,Victor Hugo
5952,819789,J.D. Salinger
5954,829,Daniel Goleman
5986,8546,Julie Powell
5992,11291,Chimamanda Ngozi Adichie
6041,11679,Elizabeth Gilbert
6049,4785,Alexandre Dumas
6081,1285555,Jose Saramago
6107,137902,Richelle Mead
6111,1201952,`y'D lqrny
6223,432,Ayn Rand
6237,7956,Mary Roach
6239,6134,Arundhati Roy
6240,871358,mSTf~ mHmwd
6264,56224,Ally Carter
6305,957894,Albert Camus
6339,1406384,John Green
6376,306,William Golding
6403,61388,Tim Sale
6409,3345,Joseph Conrad
6492,3090,Helen Fielding
6520,2041,Frances Hodgson Burnett
6530,776,Michael   Lewis
6589,4917067,Colleen McCullough
6593,2751,Bret Easton Ellis
6623,9355,Dean Koontz
6627,344522,P.D. James
6630,6569,Louis Sachar
6635,4065222,Matthew    Ward
6662,4261,Allen Ginsberg
6703,941441,Stephenie Meyer
6705,10746,Jim Butcher
6719,15149526,Trevor Noah
6788,2007,Daniel Defoe
6819,5687,Irvine Welsh
6824,2936493,Lauren Oliver
6856,12605,Mario Puzo
6871,348878,James Dashner
6887,4174,Sherman Alexie
6961,4763,John Scalzi
6977,4260,Diana Wynne Jones
7009,29919,John Berger
7049,19823,Sylvia Day
7075,10289,Dennis Lehane
7106,1433597,Samuel Beckett
7241,3619,Roger Zelazny
7323,6900,Thomas Keneally
7371,7125422,Jessie Burton
7372,3380908,Pittacus Lore
7376,2001717,Daphne du Maurier
7426,1388082,Jostein Gaarder
7457,10896,Eoin Colfer
7545,3961,Alan Moore
7546,55409,Brian Bolland
7580,12470,Michael Connelly
7648,8435,Norman Vincent Peale
7652,805184,Jennifer E. Smith
7657,138207,Deepak Chopra
7789,1730,Umberto Eco
7825,2687,Dan Simmons
7840,1041311,Rene Goscinny
7862,3490,Lauren Weisberger
7864,3242,L. Frank Baum
7960,4273,Roald Dahl
7974,289513,Benjamin Franklin
7987,3433047,Sarah J. Maas
8067,10015,Kate Atkinson
8086,7625163,Tim LaHaye
8192,63116,Annie Barrows
8236,15577045,Takeshi Obata
8331,903,Homer
8432,798,Steven D. Levitt
8433,1928,Stephen J. Dubner
8453,1413437,Elizabeth Gaskell
8462,3892,Tom Clancy
8578,6573436,Oreste del Buono
8642,545,Neal Stephenson
8643,16201,Niccolo Machiavelli
8656,49,Johanna Spyri
8721,7717,Richard Adams
8739,12455,Thomas Harris
8742,295178,Gayle Forman
8830,3222554,Jonas Jonasson
8926,6153502,Marina Keegan
8939,5117,Art Spiegelman
8978,2526,Libba Bray
8980,4342215,Marie Lu
9061,7577,Anne Rice
9063,12667,Jess Walter
9186,25355,Anthea Bell
9237,1479015,'Hmd khld twfyq
9301,2940640,Rebecca Skloot
9396,4764,Philip K. Dick
9479,383606,Robert Galbraith
9485,4575289,Leigh Bardugo
9685,435477,Shel Silverstein
9808,4402,Miguel Ruiz
9847,22393,Naomi Wolf
9902,4820,Jeffrey Archer
10040,13360,William L. Shirer
10140,2617,Jonathan Safran Foer
10420,8051,Chinua Achebe
10444,1069006,C.S. Lewis
10493,5835922,Naguib Mahfouz
10494,4273240,njyb mHfwZ
10559,600,Robert T. Kiyosaki
10563,1986561,bwlw kwylw
10571,4537214,Vanessa Diffenbaugh
10774,978484,Lisa Genova
11010,3500,Anna Quindlen
11035,3873,Mikhail Bulgakov
11039,2331,Mitch Albom
11065,6125,Fannie Flagg
11262,5237,Hunter S. Thompson
11295,14176929,Margot Lee Shetterly
11306,1373880,Kristin Cashore
11338,61939,Mark Cotta Vaz
11378,933665,Alice Schroeder
11461,3960,David   Lloyd
11472,4841825,Marion Zimmer Bradley
11511,16965,Tony Moore
11515,58,Frank Herbert
11563,12817,Daron Acemoglu
11566,12816,James A. Robinson
11682,19564,Neal Shusterman
11701,45592,Jennifer Niven
11724,12425,Robert Kirkman
11749,1318,Susan Beth Pfeffer
11855,2493,Lois Lowry
11939,4280,Kazuo Ishiguro
11975,12793,Charles Darwin
11984,8349,Christopher Paolini
12009,11072,Daniel Keyes
12096,6343,Milan Kundera
12216,2546,Chuck Palahniuk
12222,2994581,mHmd Sdq
12237,1176324,mHmd `bd lrHmn l`ryfy
12251,180439,John Tenniel
12305,1429989,Richard Feynman
12342,1742,Jack Kerouac
12392,30916,Garth Williams
12405,8719,Donna Tartt
12443,14425604,B.A. Paris
12454,3360355,Roxane Gay
12527,3618,Philip Pullman
12757,200317,Alyson Noel
12856,29655,Rhonda Byrne
12884,151371,Jenny Han
