,book_id,title,format,authors,size,publicationYear,genres
1755,251355.0,Crossing the River,Paperback,81158,237,1995,"fiction,history,historical fiction,biography"
5131,14502.0,Born a Crime: Stories From a South African Childhood,Kindle Edition,15149526,304,2016,"non-fiction,history,historical fiction,biography,comics,graphic"
6661,126.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",Hardcover,108424,662,2007,"fantasy,paranormal,fiction,young-adult,romance"
8625,1339.0,We Should All Be Feminists,Kindle Edition,11291,52,2014,non-fiction
8960,29954.0,A Christmas Carol and Other Christmas Writings,Paperback,"239579,40641",288,2003,"fantasy,paranormal,poetry,fiction,children,romance,young-adult"
9562,19799.0,Brooklyn,Hardcover,1351903,262,2009,"fiction,history,historical fiction,biography,romance"
10147,16307.0,A Northern Light,Paperback,36346,396,2004,"fiction,history,historical fiction,biography,young-adult,mystery,thriller,crime,romance,children"
11275,7379.0,Batman: Year One,Paperback,"15085,28995,821898,28710",144,2005,"comics,graphic,fiction,mystery,thriller,crime,fantasy,paranormal,young-adult"
11565,14589.0,Hunger Makes Me a Modern Girl,Hardcover,1026791,244,2015,"non-fiction,history,historical fiction,biography,comics,graphic"
12457,1465.0,The Paris Wife,Hardcover,290189,314,2011,"fiction,history,historical fiction,biography,romance,non-fiction"
14375,7205.0,The Couple Next Door,Hardcover,1278320,308,2016,"mystery,thriller,crime,fiction"
16222,6959.0,Under the Dome,Hardcover,3389,1074,2009,"fiction,mystery,thriller,crime,fantasy,paranormal"
17470,21019.0,Autobiography of a Yogi,Paperback,14650,520,1994,"non-fiction,history,historical fiction,biography,comics,graphic"
17561,13152.0,Lullaby,Paperback,2546,260,2003,"fiction,fantasy,paranormal,mystery,thriller,crime,romance"
17697,19987.0,The Hare With Amber Eyes: A Family's Century of Art and Loss,Hardcover,471230,368,2010,"non-fiction,history,historical fiction,biography,fiction"
18690,29297.0,Agnes Grey,Paperback,"8249,286311",251,1988,"fiction,romance,history,historical fiction,biography"
18746,7499.0,"Shiver (The Wolves of Mercy Falls, #1)",Hardcover,1330292,390,2009,"romance,fiction,fantasy,paranormal,young-adult"
18909,17598.0,The Grand Design,Hardcover,"1401,1399",199,2010,"non-fiction,history,historical fiction,biography,fiction"
20019,14057.0,The Art of War,Paperback,"1771,155021",273,2005,"non-fiction,history,historical fiction,biography,fiction"
20191,6963.0,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Paperback,1443712,310,2009,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime"
20904,21202.0,One Day in the Life of Ivan Denisovich,Paperback,"10420,192496",182,2005,"fiction,history,historical fiction,biography,non-fiction"
22682,21041.0,The Origin of Species,Hardcover,12793,703,2004,"non-fiction,history,historical fiction,biography,fiction"
23132,20586.0,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Hardcover,1439,305,2013,"non-fiction,history,historical fiction,biography,fiction"
24887,410.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Hardcover,30913,473,2010,"non-fiction,history,historical fiction,biography,fiction,comics,graphic"
29438,13316.0,"From Dead to Worse (Sookie Stackhouse, #8)",Hardcover,17061,359,2008,"fantasy,paranormal,fiction,romance,mystery,thriller,crime,young-adult"
29500,791.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Mass Market Paperback,"1654,1221698",412,2006,"fantasy,paranormal,fiction,young-adult"
29868,8042.0,The Five People You Meet in Heaven,Paperback,2331,196,2003,"fiction,non-fiction,young-adult,romance"
30080,13337.0,All the Missing Girls,Kindle Edition,4417749,384,2016,"mystery,thriller,crime,fiction"
30114,39001.0,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",Hardcover,4493,128,2001,non-fiction
31221,42670.0,"Fifty Shades Trilogy (Fifty Shades, #1-3)",ebook,4725841,1859,2012,"romance,fiction,young-adult"
31608,6410.0,"Slammed (Slammed, #1)",ebook,5430144,317,2012,"romance,fiction,young-adult,poetry"
31905,6088.0,"The Coincidence of Callie & Kayden (The Coincidence, #1)",Kindle Edition,4601855,283,2012,"romance,young-adult,fiction"
32203,57830.0,"Bared to You (Crossfire, #1)",Paperback,19823,334,2014,"romance,fiction"
32449,35723.0,Sidney Sheldon's Mistress of the Game,Paperback,"299381,9068",592,2009,"fiction,mystery,thriller,crime,romance"
33653,1628.0,"The Girl Who Played with Fire (Millennium, #2)",Hardcover,"706255,2565625",503,2009,"fiction,mystery,thriller,crime"
35183,46959.0,A Little Something Different,ebook,8030489,272,2014,"romance,young-adult,fiction"
38026,7088.0,Just Kids,Hardcover,196092,304,2010,"non-fiction,history,historical fiction,biography,poetry,fiction,comics,graphic"
39966,20887.0,The Opposite of Loneliness: Essays and Stories,Hardcover,6153502,208,2014,"non-fiction,fiction,history,historical fiction,biography,young-adult"
40031,6783.0,"Nevermore (Maximum Ride, #8)",Hardcover,3780,368,2012,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime"
40924,13371.0,"The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society, #2)",Hardcover,"47672,2303624",440,2008,"mystery,thriller,crime,fiction,young-adult,children,fantasy,paranormal"
41620,9326.0,The Girl on the Train,Kindle Edition,1063732,326,2015,"mystery,thriller,crime,fiction"
43201,317.0,"Lean In: Women, Work, and the Will to Lead",Hardcover,"5333595,3963951",217,2013,"non-fiction,history,historical fiction,biography"
43587,15268.0,Shutter Island,Mass Market Paperback,10289,369,2004,"mystery,thriller,crime,fiction,history,historical fiction,biography"
45125,21785.0,"Die for Me (Revenants, #1)",Hardcover,3353516,341,2011,"young-adult,fantasy,paranormal,romance,fiction"
45748,6461.0,"The Darkest Minds (The Darkest Minds, #1)",Hardcover,2973783,488,2012,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime"
45885,8427.0,"Jurassic Park (Jurassic Park, #1)",Mass Market Paperback,5194,480,2006,"fiction,mystery,thriller,crime,fantasy,paranormal,young-adult"
45890,17566.0,The Andromeda Strain,Paperback,5194,327,2003,"fiction,mystery,thriller,crime,fantasy,paranormal"
46103,20536.0,Uncle Tom's Cabin,Paperback,26242,438,1999,"fiction,history,historical fiction,biography,young-adult,children"
46610,12971.0,"The Eye of the World (Wheel of Time, #1)",Mass Market Paperback,6252,814,1990,"fantasy,paranormal,fiction,young-adult"
47414,46978.0,The Man in the Brown Suit,Paperback,123715,381,2002,"mystery,thriller,crime,fiction,romance,history,historical fiction,biography"
47934,37043.0,Megan Meade's Guide to the McGowan Boys,Paperback,94091,268,2006,"young-adult,romance,fiction"
49439,6362.0,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",Paperback,346732,663,2001,"fantasy,paranormal,fiction,history,historical fiction,biography,romance,mystery,thriller,crime"
49554,20615.0,The Woman in White,Paperback,"4012,4011",672,2003,"mystery,thriller,crime,fiction,history,historical fiction,biography,romance"
50722,18634.0,"Maybe Someday (Maybe, #1)",Kindle Edition,5430144,385,2014,"romance,young-adult,fiction"
52344,21000.0,The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book,Hardcover,4402,240,2002,"non-fiction,romance"
52645,1053.0,"Bridget Jones's Diary (Bridget Jones, #1)",Paperback,3090,288,1999,"fiction,romance"
54403,40911.0,Bird Box,Hardcover,7271073,262,2014,"fiction,mystery,thriller,crime,fantasy,paranormal"
55410,14868.0,Change of Heart,Hardcover,7128,448,2008,"fiction,mystery,thriller,crime,romance,young-adult"
57386,488.0,Drive: The Surprising Truth About What Motivates Us,Hardcover,96150,242,2009,non-fiction
57406,7403.0,Who's Afraid of Virginia Woolf?,Paperback,9322,272,2006,"fiction,poetry,romance"
58876,7374.0,Batman: The Killing Joke,Paperback,"3961,55409,61388",50,1995,"comics,graphic,fiction,fantasy,paranormal,mystery,thriller,crime"
58957,7006.0,"Angelfall (Penryn & the End of Days, #1)",Paperback,4890182,326,2013,"fantasy,paranormal,young-adult,romance,fiction"
59741,26420.0,"Forever (The Wolves of Mercy Falls, #3)",Hardcover,1330292,388,2011,"young-adult,fantasy,paranormal,romance,fiction"
60739,50613.0,"The Magicians' Guild (Black Magician Trilogy, #1)",Paperback,15890,467,2004,"fiction,fantasy,paranormal,romance,young-adult"
61313,4841.0,"Hourglass (Evernight, #3)",Hardcover,1192311,339,2010,"young-adult,fantasy,paranormal,romance,fiction"
61937,6956.0,Dreamcatcher,Paperback,"3389,90038,4397863",688,2002,"fiction,mystery,thriller,crime,fantasy,paranormal"
64657,7504.0,"Finale (Hush, Hush, #4)",Hardcover,2876763,454,2012,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
64669,19516.0,Wedding Night,Paperback,6160,464,2014,"romance,fiction"
65464,28586.0,The Arabian Nights,Paperback,"5158478,4197526,1169504",1049,2004,"fiction,fantasy,paranormal,children,history,historical fiction,biography,romance,young-adult,poetry"
67130,6836.0,"Clockwork Princess (The Infernal Devices, #3)",Hardcover,150038,570,2013,"fantasy,paranormal,young-adult,romance,fiction,history,historical fiction,biography,mystery,thriller,crime"
67318,14582.0,My Life on the Road,Hardcover,57108,276,2015,"non-fiction,history,historical fiction,biography"
69369,17445.0,"New Spring (Wheel of Time, #0)",Paperback,6252,423,2004,"fantasy,paranormal,fiction,young-adult"
78194,855.0,"The Big Sleep (Philip Marlowe, #1)",Paperback,1377,231,1988,"mystery,thriller,crime,fiction,history,historical fiction,biography"
79258,14595.0,Wildflower,Hardcover,33117,288,2015,"non-fiction,history,historical fiction,biography"
85234,12572.0,The Sea of Tranquility,Kindle Edition,6466759,426,2012,"young-adult,romance,fiction,mystery,thriller,crime"
87298,8580.0,I Let You Go,Paperback,8509533,371,2014,"mystery,thriller,crime,fiction"
87333,36132.0,Chronicle of a Death Foretold,Paperback,"13450,50060",120,2003,"fiction,mystery,thriller,crime,history,historical fiction,biography,romance,fantasy,paranormal"
88085,56860.0,Wreck This Journal,Paperback,117227,192,2007,"non-fiction,young-adult,fiction"
90886,21342.0,Doctor Zhivago,Paperback,"7902,923847,923848,21660",592,1997,"fiction,history,historical fiction,biography,romance,poetry"
91283,17626.0,Watchers,Paperback,9355,624,2003,"fiction,mystery,thriller,crime,fantasy,paranormal,romance"
91492,6579.0,"Partials (Partials Sequence, #1)",Hardcover,2740668,468,2012,"young-adult,fiction,fantasy,paranormal,romance,mystery,thriller,crime"
92331,182.0,"Saga, Vol. 1 (Saga, #1)",Paperback,"24514,304633",160,2012,"comics,graphic,fantasy,paranormal,fiction,romance"
92336,6990.0,"Life As We Knew It (Last Survivors, #1)",Paperback,1318,337,2006,"young-adult,fiction,fantasy,paranormal"
95062,6969.0,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Hardcover,324620,422,2011,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
95777,703.0,"The Amber Spyglass (His Dark Materials, #3)",Mass Market Paperback,3618,467,2003,"fantasy,paranormal,young-adult,fiction,children,romance"
95921,47939.0,"Sailor Moon, Vol. 1 (Sailor Moon, #1)",Paperback,117369,200,2003,"fantasy,paranormal,comics,graphic,romance,young-adult,fiction,children,mystery,thriller,crime"
100582,19535.0,Amy & Roger's Epic Detour,Hardcover,3351454,344,2010,"young-adult,romance,fiction"
103618,48651.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",Hardcover,15872,381,2009,"fantasy,paranormal,young-adult,fiction,children,romance"
104367,1334.0,A Tale for the Time Being,Hardcover,7825,422,2013,"fiction,history,historical fiction,biography,fantasy,paranormal,mystery,thriller,crime"
105857,7502.0,"The Edge of Never (The Edge of Never, #1)",Paperback,5437976,426,2012,"romance,young-adult,fiction"
109008,18674.0,Post Office,Paperback,13275,208,2002,"fiction,poetry,history,historical fiction,biography,non-fiction,comics,graphic"
111672,13411.0,Tess of the D'Urbervilles,Paperback,"15905,261798,134559",518,2003,"fiction,romance,history,historical fiction,biography"
111674,16853.0,"The Surgeon (Rizzoli & Isles, #1)",Paperback,18149,416,2005,"mystery,thriller,crime,fiction,romance"
112531,7459.0,"Vampire Academy (Vampire Academy, #1)",Paperback,137902,332,2013,"fantasy,paranormal,young-adult,fiction,romance"
113083,10026.0,Adultery,Hardcover,566,272,2014,"fiction,romance"
114112,39207.0,"Eclipse: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #3)",Paperback,61939,144,2010,"young-adult,non-fiction,fantasy,paranormal,romance,fiction"
115488,37174.0,Mr. Maybe,Paperback,12915,368,2002,"fiction,romance,young-adult"
115755,1027.0,"Tales of a Fourth Grade Nothing (Fudge, #1)",Paperback,12942,144,2004,"children,fiction,young-adult"
115757,18745.0,Forever . . .,Paperback,12942,178,2005,"young-adult,romance,fiction,children"
115903,6230.0,"Frostbite (Vampire Academy, #2)",Paperback,137902,327,2008,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
119389,5359.0,"In the Hand of the Goddess (Song of the Lioness, #2)",Mass Market Paperback,8596,264,2005,"fantasy,paranormal,young-adult,fiction,romance,children,history,historical fiction,biography"
119393,5360.0,"Alanna: The First Adventure (Song of the Lioness, #1)",Mass Market Paperback,8596,274,2005,"fantasy,paranormal,young-adult,fiction,children,romance,history,historical fiction,biography"
120341,16238.0,The Phantom of the Opera,Paperback,"9057,1319502",360,1987,"fiction,romance,mystery,thriller,crime,history,historical fiction,biography,fantasy,paranormal"
121634,17585.0,Sputnik Sweetheart,Paperback,"3354,403782",229,2002,"fiction,romance,mystery,thriller,crime,fantasy,paranormal"
121643,6360.0,"A Dance with Dragons (A Song of Ice and Fire, #5)",Kindle Edition,346732,1125,2011,"fantasy,paranormal,fiction,history,historical fiction,biography"
122368,19555.0,"Fever (The Chemical Garden, #2)",Hardcover,4103366,341,2012,"young-adult,romance,fiction,fantasy,paranormal"
122690,8673.0,"Caraval (Caraval, #1)",Hardcover,14137787,407,2017,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
127136,68.0,Open,Hardcover,"54066,34372",388,2009,"non-fiction,history,historical fiction,biography,comics,graphic"
127188,16143.0,Two-Way Street,Paperback,262086,288,2007,"young-adult,romance,fiction"
127953,29336.0,Robinson Crusoe,Paperback,"2007,3162937,6765",320,2001,"fiction,history,historical fiction,biography,young-adult,children,fantasy,paranormal"
128383,387.0,The Power of Habit: Why We Do What We Do in Life and Business,Hardcover,5201530,286,2012,non-fiction
128497,20002.0,"The Serpent's Shadow (Kane Chronicles, #3)",Hardcover,15872,406,2012,"fantasy,paranormal,young-adult,fiction,children,romance,mystery,thriller,crime"
128926,427.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",Paperback,346732,761,2002,"fantasy,paranormal,fiction,history,historical fiction,biography"
129622,14542.0,Moonglow,Hardcover,2715,430,2016,"fiction,history,historical fiction,biography,non-fiction"
131456,1386.0,"Mockingjay (The Hunger Games, #3)",Hardcover,153394,392,2010,"young-adult,fiction,fantasy,paranormal,romance,mystery,thriller,crime"
132044,6787.0,"The Final Warning (Maximum Ride, #4)",Hardcover,3780,256,2008,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime,children"
132352,7405.0,Pygmalion,Paperback,5217,134,1994,"fiction,romance,history,historical fiction,biography"
133647,13025.0,"Attack on Titan, Vol. 1 (Attack on Titan, #1)",Paperback,"5365396,3014566",193,2012,"comics,graphic,fantasy,paranormal,fiction,young-adult,mystery,thriller,crime"
134438,12946.0,"City of Bones (The Mortal Instruments, #1)",Kindle Edition,150038,485,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
138949,6163.0,"Masquerade (Blue Bloods, #2)",Hardcover,21911,307,2007,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
140420,14687.0,A Fine Balance,Paperback,3539,603,2001,"fiction,history,historical fiction,biography"
141386,7356.0,To the Lighthouse,Paperback,6765,209,1989,"fiction,history,historical fiction,biography"
